year,winner,actual_ballots,v1_prediction,v2_prediction,error,abs_error,stalemate_detected
1878,Leo XIII,3,6.578947368421052,6.578947368421052,3.578947368421052,3.578947368421052,False
1903,Pius X,7,6.756756756756757,6.756756756756757,-0.24324324324324298,0.24324324324324298,False
1914,Benedict XV,10,6.802721088435375,6.802721088435375,-3.1972789115646254,3.1972789115646254,False
1922,Pius XI,14,8.333333333333334,8.92,-5.08,5.08,True
1939,Pius XII,2,5.347593582887701,5.347593582887701,3.3475935828877006,3.3475935828877006,False
1958,John XXIII,4,7.4074074074074066,7.83111111111111,3.8311111111111096,3.8311111111111096,True
1963,Paul VI,6,5.714285714285714,5.714285714285714,-0.2857142857142856,0.2857142857142856,False
1978,John Paul I,4,7.142857142857143,7.142857142857143,3.1428571428571432,3.1428571428571432,False
1978,John Paul II,3,6.8965517241379315,6.8965517241379315,3.8965517241379315,3.8965517241379315,False
2005,Benedict XVI,2,5.347593582887701,5.347593582887701,3.3475935828877006,3.3475935828877006,False
2013,Francis,5,7.4074074074074066,7.864814814814814,2.864814814814814,2.864814814814814,True
2025,Leo XIV,4,5.555555555555556,5.555555555555556,1.5555555555555562,1.5555555555555562,False
